date,Blogging,isPartial
2018-06-10,60,False
2018-06-17,61,False
2018-06-24,65,False
2018-07-01,61,False
2018-07-08,69,False
2018-07-15,72,False
2018-07-22,65,False
2018-07-29,71,False
2018-08-05,76,False
2018-08-12,67,False
2018-08-19,69,False
2018-08-26,78,False
2018-09-02,72,False
2018-09-09,79,False
2018-09-16,70,False
2018-09-23,67,False
2018-09-30,67,False
2018-10-07,68,False
2018-10-14,65,False
2018-10-21,68,False
2018-10-28,64,False
2018-11-04,60,False
2018-11-11,67,False
2018-11-18,68,False
2018-11-25,68,False
2018-12-02,67,False
2018-12-09,66,False
2018-12-16,60,False
2018-12-23,60,False
2018-12-30,72,False
2019-01-06,72,False
2019-01-13,71,False
2019-01-20,65,False
2019-01-27,65,False
2019-02-03,68,False
2019-02-10,68,False
2019-02-17,70,False
2019-02-24,63,False
2019-03-03,69,False
2019-03-10,73,False
2019-03-17,67,False
2019-03-24,72,False
2019-03-31,69,False
2019-04-07,70,False
2019-04-14,63,False
2019-04-21,67,False
2019-04-28,74,False
2019-05-05,68,False
2019-05-12,65,False
2019-05-19,64,False
2019-05-26,66,False
2019-06-02,63,False
2019-06-09,66,False
2019-06-16,65,False
2019-06-23,73,False
2019-06-30,63,False
2019-07-07,65,False
2019-07-14,72,False
2019-07-21,73,False
2019-07-28,75,False
2019-08-04,77,False
2019-08-11,73,False
2019-08-18,71,False
2019-08-25,71,False
2019-09-01,77,False
2019-09-08,73,False
2019-09-15,77,False
2019-09-22,72,False
2019-09-29,74,False
2019-10-06,70,False
2019-10-13,69,False
2019-10-20,66,False
2019-10-27,66,False
2019-11-03,70,False
2019-11-10,69,False
2019-11-17,77,False
2019-11-24,69,False
2019-12-01,67,False
2019-12-08,67,False
2019-12-15,72,False
2019-12-22,71,False
2019-12-29,96,False
2020-01-05,93,False
2020-01-12,82,False
2020-01-19,76,False
2020-01-26,70,False
2020-02-02,75,False
2020-02-09,70,False
2020-02-16,76,False
2020-02-23,71,False
2020-03-01,78,False
2020-03-08,71,False
2020-03-15,87,False
2020-03-22,87,False
2020-03-29,93,False
2020-04-05,87,False
2020-04-12,88,False
2020-04-19,98,False
2020-04-26,92,False
2020-05-03,99,False
2020-05-10,99,False
2020-05-17,93,False
2020-05-24,99,False
2020-05-31,95,False
2020-06-07,95,False
2020-06-14,96,False
2020-06-21,95,False
2020-06-28,95,False
2020-07-05,95,False
2020-07-12,99,False
2020-07-19,100,False
2020-07-26,93,False
2020-08-02,88,False
2020-08-09,88,False
2020-08-16,95,False
2020-08-23,86,False
2020-08-30,86,False
2020-09-06,95,False
2020-09-13,96,False
2020-09-20,88,False
2020-09-27,88,False
2020-10-04,91,False
2020-10-11,90,False
2020-10-18,83,False
2020-10-25,82,False
2020-11-01,70,False
2020-11-08,73,False
2020-11-15,84,False
2020-11-22,76,False
2020-11-29,73,False
2020-12-06,75,False
2020-12-13,71,False
2020-12-20,66,False
2020-12-27,69,False
2021-01-03,76,False
2021-01-10,75,False
2021-01-17,76,False
2021-01-24,71,False
2021-01-31,71,False
2021-02-07,71,False
2021-02-14,71,False
2021-02-21,66,False
2021-02-28,72,False
2021-03-07,63,False
2021-03-14,64,False
2021-03-21,67,False
2021-03-28,63,False
2021-04-04,66,False
2021-04-11,72,False
2021-04-18,87,False
2021-04-25,92,False
2021-05-02,76,False
2021-05-09,72,False
2021-05-16,81,False
2021-05-23,74,False
2021-05-30,85,False
2021-06-06,75,False
2021-06-13,70,False
2021-06-20,73,False
2021-06-27,72,False
2021-07-04,68,False
2021-07-11,67,False
2021-07-18,70,False
2021-07-25,71,False
2021-08-01,65,False
2021-08-08,73,False
2021-08-15,67,False
2021-08-22,65,False
2021-08-29,70,False
2021-09-05,65,False
2021-09-12,73,False
2021-09-19,72,False
2021-09-26,69,False
2021-10-03,70,False
2021-10-10,64,False
2021-10-17,71,False
2021-10-24,64,False
2021-10-31,62,False
2021-11-07,63,False
2021-11-14,66,False
2021-11-21,70,False
2021-11-28,63,False
2021-12-05,63,False
2021-12-12,65,False
2021-12-19,63,False
2021-12-26,62,False
2022-01-02,82,False
2022-01-09,84,False
2022-01-16,76,False
2022-01-23,74,False
2022-01-30,77,False
2022-02-06,77,False
2022-02-13,85,False
2022-02-20,79,False
2022-02-27,88,False
2022-03-06,85,False
2022-03-13,94,False
2022-03-20,85,False
2022-03-27,82,False
2022-04-03,81,False
2022-04-10,77,False
2022-04-17,81,False
2022-04-24,86,False
2022-05-01,80,False
2022-05-08,75,False
2022-05-15,73,False
2022-05-22,77,False
2022-05-29,76,False
2022-06-05,83,False
2022-06-12,74,False
2022-06-19,77,False
2022-06-26,72,False
2022-07-03,74,False
2022-07-10,77,False
2022-07-17,84,False
2022-07-24,79,False
2022-07-31,78,False
2022-08-07,67,False
2022-08-14,78,False
2022-08-21,83,False
2022-08-28,77,False
2022-09-04,66,False
2022-09-11,72,False
2022-09-18,72,False
2022-09-25,71,False
2022-10-02,71,False
2022-10-09,71,False
2022-10-16,62,False
2022-10-23,69,False
2022-10-30,65,False
2022-11-06,72,False
2022-11-13,62,False
2022-11-20,68,False
2022-11-27,68,False
2022-12-04,68,False
2022-12-11,62,False
2022-12-18,64,False
2022-12-25,71,False
2023-01-01,76,False
2023-01-08,77,False
2023-01-15,80,False
2023-01-22,86,False
2023-01-29,80,False
2023-02-05,73,False
2023-02-12,76,False
2023-02-19,78,False
2023-02-26,84,False
2023-03-05,77,False
2023-03-12,89,False
2023-03-19,82,False
2023-03-26,88,False
2023-04-02,78,False
2023-04-09,70,False
2023-04-16,72,False
2023-04-23,77,False
2023-04-30,76,False
2023-05-07,70,False
2023-05-14,71,False
2023-05-21,78,False
2023-05-28,73,False
2023-06-04,75,True
