date,Dog Walking,isPartial
2018-06-10,59,False
2018-06-17,55,False
2018-06-24,54,False
2018-07-01,50,False
2018-07-08,54,False
2018-07-15,62,False
2018-07-22,61,False
2018-07-29,57,False
2018-08-05,60,False
2018-08-12,57,False
2018-08-19,78,False
2018-08-26,61,False
2018-09-02,54,False
2018-09-09,59,False
2018-09-16,57,False
2018-09-23,58,False
2018-09-30,54,False
2018-10-07,59,False
2018-10-14,60,False
2018-10-21,56,False
2018-10-28,57,False
2018-11-04,58,False
2018-11-11,57,False
2018-11-18,56,False
2018-11-25,57,False
2018-12-02,55,False
2018-12-09,53,False
2018-12-16,45,False
2018-12-23,46,False
2018-12-30,59,False
2019-01-06,61,False
2019-01-13,61,False
2019-01-20,66,False
2019-01-27,64,False
2019-02-03,62,False
2019-02-10,57,False
2019-02-17,60,False
2019-02-24,52,False
2019-03-03,56,False
2019-03-10,59,False
2019-03-17,57,False
2019-03-24,63,False
2019-03-31,60,False
2019-04-07,59,False
2019-04-14,58,False
2019-04-21,61,False
2019-04-28,59,False
2019-05-05,57,False
2019-05-12,57,False
2019-05-19,60,False
2019-05-26,61,False
2019-06-02,58,False
2019-06-09,59,False
2019-06-16,61,False
2019-06-23,59,False
2019-06-30,55,False
2019-07-07,63,False
2019-07-14,60,False
2019-07-21,57,False
2019-07-28,56,False
2019-08-04,60,False
2019-08-11,56,False
2019-08-18,60,False
2019-08-25,58,False
2019-09-01,59,False
2019-09-08,62,False
2019-09-15,61,False
2019-09-22,59,False
2019-09-29,60,False
2019-10-06,60,False
2019-10-13,58,False
2019-10-20,59,False
2019-10-27,56,False
2019-11-03,57,False
2019-11-10,57,False
2019-11-17,57,False
2019-11-24,52,False
2019-12-01,57,False
2019-12-08,58,False
2019-12-15,63,False
2019-12-22,53,False
2019-12-29,65,False
2020-01-05,65,False
2020-01-12,63,False
2020-01-19,69,False
2020-01-26,62,False
2020-02-02,57,False
2020-02-09,55,False
2020-02-16,65,False
2020-02-23,58,False
2020-03-01,56,False
2020-03-08,55,False
2020-03-15,72,False
2020-03-22,100,False
2020-03-29,68,False
2020-04-05,65,False
2020-04-12,59,False
2020-04-19,55,False
2020-04-26,60,False
2020-05-03,52,False
2020-05-10,60,False
2020-05-17,61,False
2020-05-24,63,False
2020-05-31,59,False
2020-06-07,61,False
2020-06-14,61,False
2020-06-21,60,False
2020-06-28,54,False
2020-07-05,57,False
2020-07-12,57,False
2020-07-19,59,False
2020-07-26,57,False
2020-08-02,60,False
2020-08-09,54,False
2020-08-16,64,False
2020-08-23,64,False
2020-08-30,63,False
2020-09-06,66,False
2020-09-13,63,False
2020-09-20,60,False
2020-09-27,56,False
2020-10-04,58,False
2020-10-11,60,False
2020-10-18,58,False
2020-10-25,53,False
2020-11-01,51,False
2020-11-08,57,False
2020-11-15,64,False
2020-11-22,56,False
2020-11-29,57,False
2020-12-06,54,False
2020-12-13,52,False
2020-12-20,51,False
2020-12-27,68,False
2021-01-03,65,False
2021-01-10,59,False
2021-01-17,68,False
2021-01-24,63,False
2021-01-31,54,False
2021-02-07,54,False
2021-02-14,53,False
2021-02-21,56,False
2021-02-28,59,False
2021-03-07,59,False
2021-03-14,52,False
2021-03-21,58,False
2021-03-28,59,False
2021-04-04,56,False
2021-04-11,56,False
2021-04-18,53,False
2021-04-25,56,False
2021-05-02,58,False
2021-05-09,58,False
2021-05-16,59,False
2021-05-23,54,False
2021-05-30,57,False
2021-06-06,57,False
2021-06-13,55,False
2021-06-20,57,False
2021-06-27,53,False
2021-07-04,53,False
2021-07-11,54,False
2021-07-18,59,False
2021-07-25,61,False
2021-08-01,55,False
2021-08-08,54,False
2021-08-15,58,False
2021-08-22,59,False
2021-08-29,60,False
2021-09-05,59,False
2021-09-12,61,False
2021-09-19,57,False
2021-09-26,59,False
2021-10-03,58,False
2021-10-10,61,False
2021-10-17,61,False
2021-10-24,58,False
2021-10-31,55,False
2021-11-07,61,False
2021-11-14,62,False
2021-11-21,53,False
2021-11-28,52,False
2021-12-05,52,False
2021-12-12,54,False
2021-12-19,44,False
2021-12-26,60,False
2022-01-02,60,False
2022-01-09,58,False
2022-01-16,59,False
2022-01-23,58,False
2022-01-30,52,False
2022-02-06,58,False
2022-02-13,56,False
2022-02-20,55,False
2022-02-27,53,False
2022-03-06,50,False
2022-03-13,56,False
2022-03-20,55,False
2022-03-27,53,False
2022-04-03,50,False
2022-04-10,55,False
2022-04-17,54,False
2022-04-24,58,False
2022-05-01,55,False
2022-05-08,52,False
2022-05-15,61,False
2022-05-22,59,False
2022-05-29,61,False
2022-06-05,59,False
2022-06-12,65,False
2022-06-19,66,False
2022-06-26,58,False
2022-07-03,58,False
2022-07-10,65,False
2022-07-17,62,False
2022-07-24,60,False
2022-07-31,59,False
2022-08-07,52,False
2022-08-14,57,False
2022-08-21,61,False
2022-08-28,54,False
2022-09-04,57,False
2022-09-11,55,False
2022-09-18,53,False
2022-09-25,57,False
2022-10-02,56,False
2022-10-09,50,False
2022-10-16,56,False
2022-10-23,56,False
2022-10-30,57,False
2022-11-06,52,False
2022-11-13,50,False
2022-11-20,49,False
2022-11-27,54,False
2022-12-04,54,False
2022-12-11,51,False
2022-12-18,50,False
2022-12-25,56,False
2023-01-01,60,False
2023-01-08,65,False
2023-01-15,61,False
2023-01-22,62,False
2023-01-29,66,False
2023-02-05,60,False
2023-02-12,58,False
2023-02-19,62,False
2023-02-26,55,False
2023-03-05,50,False
2023-03-12,48,False
2023-03-19,51,False
2023-03-26,51,False
2023-04-02,51,False
2023-04-09,54,False
2023-04-16,51,False
2023-04-23,51,False
2023-04-30,51,False
2023-05-07,54,False
2023-05-14,50,False
2023-05-21,56,False
2023-05-28,54,False
2023-06-04,57,True
