date,Elderly Care,isPartial
2018-06-10,50,False
2018-06-17,50,False
2018-06-24,49,False
2018-07-01,45,False
2018-07-08,55,False
2018-07-15,55,False
2018-07-22,53,False
2018-07-29,51,False
2018-08-05,59,False
2018-08-12,51,False
2018-08-19,51,False
2018-08-26,52,False
2018-09-02,58,False
2018-09-09,58,False
2018-09-16,55,False
2018-09-23,57,False
2018-09-30,54,False
2018-10-07,60,False
2018-10-14,58,False
2018-10-21,54,False
2018-10-28,57,False
2018-11-04,57,False
2018-11-11,60,False
2018-11-18,49,False
2018-11-25,57,False
2018-12-02,60,False
2018-12-09,65,False
2018-12-16,53,False
2018-12-23,46,False
2018-12-30,55,False
2019-01-06,56,False
2019-01-13,73,False
2019-01-20,58,False
2019-01-27,58,False
2019-02-03,58,False
2019-02-10,64,False
2019-02-17,56,False
2019-02-24,58,False
2019-03-03,57,False
2019-03-10,72,False
2019-03-17,61,False
2019-03-24,56,False
2019-03-31,57,False
2019-04-07,61,False
2019-04-14,59,False
2019-04-21,57,False
2019-04-28,58,False
2019-05-05,62,False
2019-05-12,64,False
2019-05-19,58,False
2019-05-26,53,False
2019-06-02,54,False
2019-06-09,64,False
2019-06-16,59,False
2019-06-23,56,False
2019-06-30,50,False
2019-07-07,66,False
2019-07-14,57,False
2019-07-21,52,False
2019-07-28,53,False
2019-08-04,57,False
2019-08-11,73,False
2019-08-18,59,False
2019-08-25,56,False
2019-09-01,53,False
2019-09-08,63,False
2019-09-15,65,False
2019-09-22,60,False
2019-09-29,59,False
2019-10-06,58,False
2019-10-13,57,False
2019-10-20,55,False
2019-10-27,56,False
2019-11-03,60,False
2019-11-10,63,False
2019-11-17,67,False
2019-11-24,55,False
2019-12-01,59,False
2019-12-08,75,False
2019-12-15,91,False
2019-12-22,76,False
2019-12-29,82,False
2020-01-05,90,False
2020-01-12,92,False
2020-01-19,83,False
2020-01-26,87,False
2020-02-02,85,False
2020-02-09,94,False
2020-02-16,88,False
2020-02-23,84,False
2020-03-01,86,False
2020-03-08,94,False
2020-03-15,100,False
2020-03-22,83,False
2020-03-29,57,False
2020-04-05,59,False
2020-04-12,60,False
2020-04-19,53,False
2020-04-26,54,False
2020-05-03,54,False
2020-05-10,59,False
2020-05-17,52,False
2020-05-24,52,False
2020-05-31,48,False
2020-06-07,58,False
2020-06-14,53,False
2020-06-21,53,False
2020-06-28,49,False
2020-07-05,53,False
2020-07-12,59,False
2020-07-19,54,False
2020-07-26,51,False
2020-08-02,51,False
2020-08-09,59,False
2020-08-16,49,False
2020-08-23,52,False
2020-08-30,51,False
2020-09-06,57,False
2020-09-13,58,False
2020-09-20,55,False
2020-09-27,51,False
2020-10-04,54,False
2020-10-11,63,False
2020-10-18,55,False
2020-10-25,53,False
2020-11-01,50,False
2020-11-08,64,False
2020-11-15,53,False
2020-11-22,55,False
2020-11-29,52,False
2020-12-06,62,False
2020-12-13,54,False
2020-12-20,42,False
2020-12-27,46,False
2021-01-03,53,False
2021-01-10,57,False
2021-01-17,52,False
2021-01-24,54,False
2021-01-31,50,False
2021-02-07,60,False
2021-02-14,49,False
2021-02-21,53,False
2021-02-28,55,False
2021-03-07,59,False
2021-03-14,52,False
2021-03-21,53,False
2021-03-28,46,False
2021-04-04,50,False
2021-04-11,65,False
2021-04-18,55,False
2021-04-25,53,False
2021-05-02,54,False
2021-05-09,63,False
2021-05-16,53,False
2021-05-23,54,False
2021-05-30,50,False
2021-06-06,55,False
2021-06-13,53,False
2021-06-20,49,False
2021-06-27,50,False
2021-07-04,52,False
2021-07-11,55,False
2021-07-18,51,False
2021-07-25,55,False
2021-08-01,51,False
2021-08-08,53,False
2021-08-15,54,False
2021-08-22,54,False
2021-08-29,55,False
2021-09-05,58,False
2021-09-12,65,False
2021-09-19,58,False
2021-09-26,60,False
2021-10-03,58,False
2021-10-10,63,False
2021-10-17,61,False
2021-10-24,57,False
2021-10-31,56,False
2021-11-07,55,False
2021-11-14,56,False
2021-11-21,57,False
2021-11-28,56,False
2021-12-05,52,False
2021-12-12,55,False
2021-12-19,41,False
2021-12-26,53,False
2022-01-02,52,False
2022-01-09,51,False
2022-01-16,49,False
2022-01-23,53,False
2022-01-30,59,False
2022-02-06,56,False
2022-02-13,55,False
2022-02-20,55,False
2022-02-27,56,False
2022-03-06,57,False
2022-03-13,55,False
2022-03-20,54,False
2022-03-27,54,False
2022-04-03,59,False
2022-04-10,54,False
2022-04-17,52,False
2022-04-24,57,False
2022-05-01,54,False
2022-05-08,51,False
2022-05-15,50,False
2022-05-22,47,False
2022-05-29,49,False
2022-06-05,46,False
2022-06-12,52,False
2022-06-19,50,False
2022-06-26,46,False
2022-07-03,48,False
2022-07-10,59,False
2022-07-17,51,False
2022-07-24,52,False
2022-07-31,54,False
2022-08-07,52,False
2022-08-14,49,False
2022-08-21,54,False
2022-08-28,52,False
2022-09-04,50,False
2022-09-11,57,False
2022-09-18,52,False
2022-09-25,58,False
2022-10-02,56,False
2022-10-09,56,False
2022-10-16,51,False
2022-10-23,51,False
2022-10-30,53,False
2022-11-06,58,False
2022-11-13,48,False
2022-11-20,48,False
2022-11-27,53,False
2022-12-04,49,False
2022-12-11,53,False
2022-12-18,44,False
2022-12-25,45,False
2023-01-01,53,False
2023-01-08,55,False
2023-01-15,51,False
2023-01-22,53,False
2023-01-29,51,False
2023-02-05,55,False
2023-02-12,58,False
2023-02-19,52,False
2023-02-26,58,False
2023-03-05,55,False
2023-03-12,54,False
2023-03-19,58,False
2023-03-26,53,False
2023-04-02,52,False
2023-04-09,54,False
2023-04-16,54,False
2023-04-23,54,False
2023-04-30,51,False
2023-05-07,52,False
2023-05-14,49,False
2023-05-21,51,False
2023-05-28,54,False
2023-06-04,57,True
