geoName,Personal Assistant
Argentina,1
Australia,32
Austria,4
Bangladesh,10
Belgium,7
Brazil,1
Canada,17
Colombia,1
Denmark,7
Egypt,6
France,2
Germany,3
Ghana,62
Greece,7
Hong Kong,20
India,17
Indonesia,9
Iran,1
Ireland,24
Israel,5
Italy,3
Jamaica,36
Kenya,68
Malaysia,26
Mexico,2
Nepal,18
Netherlands,14
New Zealand,27
Nigeria,69
Norway,5
Pakistan,14
Philippines,22
Poland,2
Portugal,4
Qatar,27
Romania,4
Russia,2
Saudi Arabia,5
Singapore,39
South Africa,75
South Korea,3
Spain,6
Sri Lanka,28
Sweden,5
Switzerland,8
Taiwan,2
Thailand,7
TÃ¼rkiye,1
Uganda,44
Ukraine,3
United Arab Emirates,38
United Kingdom,42
United States,26
Vietnam,5
Zambia,39
Zimbabwe,100
