geoName,Virtual Assistant
Argentina,1
Australia,9
Austria,2
Bangladesh,8
Belgium,2
Brazil,1
Canada,10
Colombia,1
Czechia,2
Egypt,3
Finland,2
France,1
Germany,1
Ghana,11
Greece,3
Hong Kong,4
Hungary,2
India,4
Indonesia,3
Iraq,4
Ireland,7
Israel,2
Italy,1
Jamaica,34
Kenya,34
Malaysia,5
Mexico,1
Morocco,3
Netherlands,5
New Zealand,9
Nigeria,27
Norway,2
Pakistan,32
Peru,1
Philippines,100
Poland,1
Portugal,3
Qatar,9
Romania,2
Russia,1
Saudi Arabia,2
Serbia,4
Singapore,9
South Africa,15
South Korea,3
Spain,1
Sri Lanka,6
Sweden,2
Switzerland,2
Taiwan,2
Thailand,3
Trinidad & Tobago,22
TÃ¼rkiye,1
Ukraine,1
United Arab Emirates,11
United Kingdom,11
United States,12
Venezuela,3
Vietnam,4
