geoName,YouTube Channel
Argentina,2
Australia,22
Austria,5
Bangladesh,75
Belgium,5
Brazil,1
Cambodia,29
Canada,24
Colombia,2
Denmark,6
Egypt,7
Ethiopia,67
Finland,7
France,3
Germany,4
Ghana,30
Greece,8
Hong Kong,16
India,65
Indonesia,24
Iran,2
Ireland,20
Israel,6
Italy,3
Jamaica,52
Japan,1
Kenya,45
Kuwait,22
Malaysia,21
Mexico,2
Morocco,12
Myanmar (Burma),65
Nepal,76
Netherlands,6
New Zealand,23
Nigeria,40
Norway,8
Pakistan,100
Philippines,35
Poland,2
Portugal,6
Qatar,34
Romania,7
Russia,1
Saudi Arabia,9
Singapore,29
South Africa,26
South Korea,4
Spain,3
Sri Lanka,71
Sweden,7
Switzerland,5
Taiwan,2
Thailand,5
TÃ¼rkiye,2
Uganda,33
Ukraine,2
United Arab Emirates,39
United Kingdom,21
United States,27
Vietnam,4
